,count,mean,std,min,25%,50%,75%,max
cell_voltage_1,201674.0,3300.375184704027,103.0447538312267,3.0,3239.0,3325.0,3332.0,3641.0
cell_voltage_10,201508.0,3301.1856303471823,94.88005678151531,3.0,3240.0,3326.0,3332.0,3642.0
cell_voltage_11,201391.0,3301.547809981578,89.95639313594705,3.0,3240.0,3326.0,3332.0,3637.0
cell_voltage_12,201299.0,3301.36324075132,90.33861326711917,3.0,3239.0,3325.0,3332.0,3638.0
cell_voltage_13,201213.0,3295.2173815807128,93.63016243871095,3.0,3233.0,3324.0,3330.0,3481.0
cell_voltage_14,201120.0,3296.9766607000797,92.36998481308007,3.0,3234.0,3324.0,3330.0,3510.0
cell_voltage_15,201014.0,3296.8490154914584,94.51577002902197,3.0,3234.0,3324.0,3330.0,3533.0
cell_voltage_16,200902.0,3297.3274631412332,89.37278523392068,3.0,3234.0,3324.0,3330.0,3581.0
cell_voltage_17,200797.0,3297.1950327943146,91.96873730261396,2.0,3234.0,3324.0,3330.0,3634.0
cell_voltage_18,200695.0,3297.2497720421534,90.89183103866033,3.0,3234.0,3324.0,3330.0,3515.0
cell_voltage_19,200590.0,3297.513016601027,93.19385363152281,3.0,3235.0,3324.0,3331.0,3628.0
cell_voltage_2,200465.0,3300.8782630384358,96.37869633092672,3.0,3239.0,3325.0,3332.0,3641.0
cell_voltage_20,200309.0,3296.5998582190514,104.77804747542021,3.0,3234.0,3324.0,3330.0,3641.0
cell_voltage_21,200132.0,3296.6560619990805,104.1498036466232,3.0,3235.0,3324.0,3330.0,3569.0
cell_voltage_22,199950.0,3296.7564441110276,103.31081921719272,3.0,3235.0,3324.0,3330.0,3557.0
cell_voltage_23,199787.0,3297.411603357576,94.55908379344784,3.0,3235.0,3324.0,3330.0,3536.0
cell_voltage_24,197656.0,3297.0542558789007,91.05382034649153,3.0,3234.0,3324.0,3330.0,3636.0
cell_voltage_3,199577.0,3301.1880477209297,93.0810749091263,3.0,3239.0,3326.0,3332.0,3636.0
cell_voltage_4,199458.0,3301.5380681647266,88.39493025152406,3.0,3239.0,3326.0,3332.0,3633.0
cell_voltage_5,199359.0,3301.2970069071375,88.76398667325516,3.0,3239.0,3326.0,3332.0,3634.0
cell_voltage_6,199265.0,3301.26313702858,92.76311474204428,3.0,3240.0,3326.0,3332.0,3642.0
cell_voltage_7,199145.0,3301.4959552085165,91.48873796608525,3.0,3240.0,3326.0,3332.0,3637.0
cell_voltage_8,199037.0,3301.0622497324616,92.15319976300934,3.0,3239.0,3326.0,3332.0,3621.0
cell_voltage_9,198927.0,3301.112483473837,94.24344340229487,3.0,3239.0,3326.0,3332.0,3639.0
