Column,Data Type,Non-Null Count,Null Percentage
_time,datetime64[ns],2791747,0.1
battery_id,object,2794434,0.0
BMS_PCB_board_surface_temperature,float64,402105,85.61
BMS_switch_C_FET_state,float64,2794434,0.0
BMS_switch_D_FET_state,float64,2794434,0.0
Battery_control,float64,2794434,0.0
Battery_status,float64,2794434,0.0
Cell_series_numbe_23_series,float64,82773,97.04
Internal_temperature_of_battery,float64,401484,85.63
Location_type,float64,385790,86.19
Mileage,float64,385699,86.2
Number_of_cycles,float64,82690,97.04
SOC,float64,2227436,20.29
Speed_information,float64,385355,86.21
Surface_temperature_in_the_middle_of_cells,float64,400961,85.65
Total_charged_capacity,float64,82583,97.04
Total_current,float64,2794434,0.0
Total_discharged_capacity,float64,82522,97.05
Total_voltage,float64,1840021,34.15
alarmDesc,float64,113924,95.92
alarmFlag,float64,2794434,0.0
alarmTime,float64,113848,95.93
cell_voltage_1,float64,201674,92.78
cell_voltage_10,float64,201508,92.79
cell_voltage_11,float64,201391,92.79
cell_voltage_12,float64,201299,92.8
cell_voltage_13,float64,201213,92.8
cell_voltage_14,float64,201120,92.8
cell_voltage_15,float64,201014,92.81
cell_voltage_16,float64,200902,92.81
cell_voltage_17,float64,200797,92.81
cell_voltage_18,float64,200695,92.82
cell_voltage_19,float64,200590,92.82
cell_voltage_2,float64,200465,92.83
cell_voltage_20,float64,200309,92.83
cell_voltage_21,float64,200132,92.84
cell_voltage_22,float64,199950,92.84
cell_voltage_23,float64,199787,92.85
cell_voltage_24,float64,197656,92.93
cell_voltage_3,float64,199577,92.86
cell_voltage_4,float64,199458,92.86
cell_voltage_5,float64,199359,92.87
cell_voltage_6,float64,199265,92.87
cell_voltage_7,float64,199145,92.87
cell_voltage_8,float64,199037,92.88
cell_voltage_9,float64,198927,92.88
id,float64,113307,95.95
times_100_of_battery_capacity,float64,198772,92.89
swap_cycle,bool,2794434,0.0
swap_out_date,object,413734,85.19
swap_in_date,object,413734,85.19
cycle_duration_hours,float64,413734,85.19
SOC_change,float64,413734,85.19
